first_name,last_name,email,scope_id
Alain,Dieckhoff,alain.dieckhoff@entreprisea.fr,14
Alexandre,Desrumaux,alexandre.desrumaux@entreprisea.fr,14
Alice,Antheaume,alice.antheaume@entreprisea.fr,14
Alice,Judell,alice.judell@entreprisea.fr,14
Alifaycal,Zerouati,alifaycal.zerouati@entreprisea.fr,14
Allison,Rovny,allison.rovny@entreprisea.fr,14
Ambroisine,Bourbon,ambroisine.bourbon@entreprisea.fr,14
Andreas,Roessner,andreas.roessner@entreprisea.fr,14
Angelique,Pawlowski,angelique.pawlowski@entreprisea.fr,14
Anita,Beldimanmoore,anita.beldimanmoore@entreprisea.fr,14
Annabelle,Mondon,annabelle.mondon@entreprisea.fr,14
Anne,Cornilleau,anne.cornilleau@entreprisea.fr,14
Anne,Lepage,anne.lepage@entreprisea.fr,14
Anne,Lesegretain,anne.lesegretain@entreprisea.fr,14
Annelaure,Faure,annelaure.faure@entreprisea.fr,14
